cellName,coverage_bool_vcf,depth_vcf,coverage_bool_gvcf,depth_gvcf
J17_1001000339,1,"['25', '76', '58']",1,"['25', '76', '58']"
J17_1001000408,1,"['232', '530', '556', '589', '547', '576', '550']",1,"['1038', '1112', '1216', '1269', '1067', '1021', '851']"
J17_B000420,1,"['842', '1034', '1094', '1096']",1,"['149', '842', '1034']"
J17_B001007,0,0,0,0
J17_B001010,1,"['119', '210', '250', '203']",1,"['119', '210', '250', '203']"
J17_B002073,1,['132'],1,['135']
J17_B002079,0,0,0,0
J17_B003070,0,0,0,0
J17_B003120,1,80,1,79
J17_B003518,1,"['239', '280', '331', '327', '375', '17', '14']",1,"['239', '280', '331', '327', '375', '17', '14']"
J17_B003588,1,"['220', '105', '105', '60', '112']",1,"['220', '105', '105', '60', '112']"
J17_B003643,0,0,0,0
J17_B003771,1,['54'],1,['54']
J17_B003777,1,"['88', '94', '153', '147', '147', '114', '115', '135', '122', '147', '102', '11']",1,"['88', '94', '153', '147', '147', '114', '115', '135', '122', '147', '102', '11']"
J17_B003894,1,"['182', '297']",1,"['157', '297']"
J17_B003920,1,"['141', '285']",1,"['140', '285']"
J18_1001000339,1,"['24', '23', '35', '47', '76', '61', '59']",1,"['24', '22', '34', '47', '76', '61', '59']"
J18_1001000340,1,"['32', '86', '99']",1,"['32', '86', '99']"
J18_1001000408,1,"['266', '538', '663', '552', '452', '456']",1,"['986', '1167', '985', '933', '957', '841']"
J18_B000420,1,"['758', '2489', '3', '2970', '3029', '3025', '3030', '3055', '111']",1,"['2479', '2967', '2825', '2818', '2824', '3042', '106']"
J18_B000422,1,"['52', '98', '264', '153', '287', '295', '295', '318', '295', '325']",1,"['52', '98', '264', '153', '287', '295', '295', '318', '295', '325']"
J18_B001010,1,"['482', '962', '890', '925']",1,"['482', '962', '890', '925']"
J18_B002079,1,['88'],1,['88']
J18_B003656,0,0,0,0
J18_B003894,1,"['112', '114']",1,"['112', '114']"
J18_B003920,1,"['287', '407', '368']",1,"['287', '407', '368']"
J19_1001000408,1,"['373', '373', '430', '440', '362', '390']",1,"['664', '727', '867', '766', '690', '713']"
J19_1001000412,1,"['4', '648', '773', '662', '660', '623']",1,"['1152', '4', '1242', '1476', '1310', '1222']"
J19_B000863,1,"['66', '65', '63', '15']",1,"['66', '65', '63', '15']"
J19_B001016,1,"['188', '321', '480', '503', '469']",1,"['188', '321', '480', '503', '469']"
J19_B002073,0,0,0,0
J19_B003071,1,"['538', '521', '515', '516', '513', '512', '542', '442']",1,"['515', '543', '501', '485', '486', '483', '482', '512', '442']"
J19_B003103,1,"['74', '450', '1', '1', '717', '858', '931', '974', '856']",1,"['74', '450', '1', '1', '717', '858', '931', '974', '856']"
J19_B003120,1,"['41', '85', '119', '100']",1,"['41', '85', '119', '100']"
J19_B003522,1,"['126', '224', '232', '258', '416']",1,"['126', '224', '232', '258', '415']"
J19_B003894,1,"['78', '255', '314', '134']",1,"['78', '255', '314', '134']"
J19_B003920,0,0,0,0
J19_B003995,0,0,0,0
J1_1001000407,1,"['115', '214', '186']",1,"['170', '447', '378', '390']"
J1_B001464,1,"['141', '211', '471', '696']",1,"['141', '211', '471', '696']"
J1_B001558,0,0,0,0
J1_B003126,1,"['121', '158']",1,"['121', '158']"
J1_B003191,1,"['184', '234', '276', '263', '215', '284', '277', '135']",1,"['184', '276', '263', '215', '284', '278', '135']"
J20_1001000339,1,"['31', '55', '96', '67', '69']",1,"['31', '55', '96', '67', '69']"
J20_1001000407,1,"['235', '487', '367']",1,"['371', '959', '713']"
J20_1001000408,1,"['204', '512', '530', '463']",1,"['1003', '915', '1084', '1116', '971']"
J20_B000420,1,['25'],1,['25']
J20_B000422,1,6,1,6
J20_B001016,1,"['5', '6', '6', '12']",1,"['5', '6', '6', '12']"
J20_B002073,1,['332'],1,332
J20_B002078,0,0,0,0
J20_B003103,1,"['241', '626', '724', '912', '800']",1,"['241', '626', '724', '912', '800']"
J20_B003105,1,"['127', '156', '167', '132']",1,"['127', '156', '167', '132']"
J20_B003112,0,0,0,0
J20_B003125,0,0,1,356
J20_B003527,1,"['2301', '7', '3', '3', '2554', '2526', '2507', '2305', '2305', '2305', '2642', '2681', '1998']",1,"['2301', '7', '3', '3', '2554', '2526', '2507', '2305', '2305', '2305', '2642', '2681', '1998']"
J20_B003588,1,"['325', '375', '436']",1,"['325', '375', '437']"
J20_B003920,1,"['65', '230', '228']",1,"['65', '230', '228']"
J20_B003995,1,['56'],1,['56']
J21_1001000407,1,"['141', '330', '236']",1,"['244', '461', '642', '667', '517', '492']"
J21_1001000412,1,"['265', '536', '617', '732', '548', '516']",1,"['988', '1234', '1387', '1072', '1060', '904']"
J21_B000422,1,['433'],1,['433']
J21_B000883,1,"['315', '1164', '1164', '1218', '1281', '1190', '776', '608']",1,"['315', '1164', '1164', '1218', '1281', '1190', '776', '608']"
J21_B001007,0,0,0,0
J21_B001016,1,"['894', '959', '1312', '1175']",1,"['894', '959', '1312', '1175']"
J21_B002074,0,0,0,0
J21_B003077,1,"['150', '180', '271', '271', '271', '271', '281', '194']",1,"['150', '178', '272', '272', '272', '272', '282', '194']"
J21_B003112,1,320,1,320
J21_B003120,1,['676'],1,['676']
J21_B003522,1,"['66', '50', '96', '61']",1,"['66', '50', '96', '61']"
J21_B003527,1,"['112', '265', '366', '518']",1,"['112', '229', '367', '518']"
J21_B003776,1,"['597', '747', '842', '842', '842', '1149', '1177', '981', '62']",1,"['597', '747', '810', '810', '810', '1161', '1070', '980', '62']"
J21_B003777,1,"['16', '242', '174', '131']",1,"['16', '242', '174', '131']"
J21_B003894,1,"['159', '101', '121', '287']",1,"['159', '101', '121', '287']"
J21_B003920,1,6,1,6
J22_1001000407,1,"['383', '407', '458', '474', '406', '399', '418']",1,"['749', '761', '940', '845', '761', '723', '693']"
J22_1001000408,1,"['94', '210', '142']",1,"['135', '407', '295']"
J22_1001000409,1,"['249', '287', '289']",1,"['249', '446', '487', '552', '562']"
J22_B000883,0,0,0,0
J22_B003103,1,"['9', '23', '805', '1120', '1198', '1198', '1057']",1,"['9', '23', '805', '1120', '1198', '1198', '1057']"
J22_B003105,1,"['114', '211', '139', '216', '133']",1,"['114', '211', '139', '216', '133']"
J22_B003116,1,"['30', '54']",1,"['32', '56']"
J22_B003126,1,"['158', '161', '161']",1,"['158', '161', '161']"
J22_B003129,1,38,1,38
J22_B003191,1,['90'],1,['90']
J22_B003518,1,"['1087', '1257', '1383', '1152', '1024']",1,"['1046', '1258', '1384', '1151', '1021']"
J22_B003529,1,"['2', '31', '96', '84', '97', '126', '124', '155', '26', '26', '92']",1,"['2', '31', '96', '84', '97', '126', '124', '155', '26', '26', '92']"
J22_B003894,1,36,1,36
J22_B003920,1,"['291', '500', '532', '532', '532', '532', '532', '554', '541']",1,"['292', '480', '501', '501', '501', '501', '501', '523', '510']"
J2_1001000407,1,"['137', '104']",1,"['277', '220']"
J2_1001000408,1,"['393', '369', '448', '349', '385']",1,"['778', '693', '744', '895', '709', '671', '707']"
J2_B000862,1,"['789', '1317', '1307', '1307', '1307', '1307', '1307', '1307', '1307', '1307', '1307', '1307', '1307', '1307', '1408', '1307', '1307', '1307', '200']",1,"['790', '1317', '1257', '1257', '1257', '1257', '1257', '1257', '193']"
J2_B001007,0,0,0,0
J2_B001464,1,"['32', '12', '12', '8', '4', '6', '510', '505', '574', '411']",1,"['31', '12', '12', '8', '4', '6', '510', '505', '575', '411']"
J2_B001470,1,"['114', '500', '405']",1,"['113', '500', '404']"
J2_B001556,1,"['27', '13']",1,"['27', '13']"
J2_B002573,1,['10'],1,['10']
J2_B003125,1,"['8', '14', '42', '41', '39']",1,"['8', '14', '42', '41', '39']"
J2_B003129,1,"['313', '339', '339', '219', '201', '201', '201', '252', '252', '429', '289', '322', '316']",1,"['169', '300', '339', '339', '219', '201', '201', '201', '252', '252', '429', '289', '318', '316']"
J2_B003132,1,"['60', '215', '155', '115', '83', '137']",1,"['60', '215', '155', '115', '83', '137']"
J2_B003187,1,"['252', '145', '114']",1,"['249', '145', '114']"
J2_B003191,1,"['751', '935', '974', '976', '1074', '58']",1,"['748', '821', '974', '977', '1075', '57']"
J2_B003643,1,"['2253', '2477', '2598', '117']",1,"['2359', '2211', '2211', '2212', '2601', '117']"
J2_B003656,1,['2'],1,['2']
J3_1001000408,1,"['203', '370', '421', '361', '383']",1,"['368', '729', '889', '705', '761', '728']"
J3_B000862,1,"['329', '453', '557', '581', '580', '603', '689', '689', '689', '689', '689', '689', '681']",1,"['313', '442', '557', '581', '580', '603', '674', '674', '674', '674', '674', '674', '631']"
J3_B001464,1,2,1,2
J3_B001557,1,"['79', '87', '60']",1,"['79', '87', '60']"
J3_B002573,1,"['12', '21', '580', '406', '520']",1,"['12', '21', '580', '406', '520']"
J3_B003093,1,"['2001', '2114', '2483', '2566', '3030', '3030', '3034', '2133', '2047', '1967', '363', '284', '77']",1,"['2011', '2', '2220', '2489', '2928', '2928', '2930', '2136', '2037', '1954', '367', '289', '80']"
J3_B003113,1,"['200', '142', '134', '219', '191', '139', '75', '18']",1,"['200', '142', '134', '219', '191', '139', '75', '18']"
J3_B003125,1,['29'],1,['29']
J3_B003126,0,0,0,0
J3_B003132,0,0,0,0
J3_B003187,1,"['6', '1440', '1787', '1610', '1552', '1552', '1552', '1331', '1366']",1,"['1433', '1709', '1614', '1449', '1449', '1449', '1328', '1369']"
J3_B003191,1,"['27', '81', '298', '154', '169', '159', '136']",1,"['27', '81', '298', '154', '169', '159', '136']"
J3_B003659,1,846,1,"['123', '576']"
J4_1001000407,1,"['162', '326', '419', '304']",1,"['596', '587', '768', '610', '595']"
J4_B001470,1,"['136', '244', '273', '296', '351', '355']",1,"['137', '244', '234', '296', '352', '355']"
J4_B001557,1,"['117', '201', '181', '165']",1,"['117', '201', '181', '165']"
J4_B001558,1,"['425', '1095', '1152', '1507', '1535', '1535', '1536', '1193', '1131', '1351', '894']",1,"['428', '1010', '1105', '1506', '1427', '1427', '1428', '1193', '1133', '1351', '894']"
J4_B002571,1,"['216', '238', '224', '151']",1,"['216', '238', '224', '151']"
J4_B002572,1,"['344', '357', '321', '472', '418']",1,"['344', '357', '321', '472', '415']"
J4_B003125,1,"['22', '22']",1,"['22', '22']"
J4_B003126,1,"['52', '72', '134', '170', '209', '161', '187']",1,"['52', '72', '134', '164', '209', '161', '187']"
J4_B003129,1,"['50', '5', '98']",1,"['50', '5', '98']"
J4_B003132,1,"['24', '174']",1,"['24', '174']"
J4_B003191,1,"['130', '344', '232', '355', '355', '493', '427', '393', '276']",1,"['130', '344', '232', '355', '355', '498', '424', '390', '284']"
J4_B003656,0,0,0,0
J4_B003659,1,"['1431', '1638', '2554', '2368', '2368', '2417', '2216']",1,"['1436', '1635', '2247', '2247', '2247', '2247', '2297', '2247', '2247', '2664', '2221']"
J5_1001000412,1,"['161', '630', '658', '804', '876', '707', '628']",1,"['1211', '1376', '1558', '1483', '1225', '1219', '964']"
J5_B000863,1,"['1132', '3', '1272', '1625']",1,"['1003', '4', '1269', '1524']"
J5_B001464,1,"['186', '182', '100']",1,"['186', '182', '100']"
J5_B001470,1,"['6', '263', '416', '567', '720', '779']",1,"['6', '266', '382', '567', '720', '779']"
J5_B001548,1,"['1319', '1473', '1168', '1443']",1,"['1319', '1473', '1168', '1443']"
J5_B001558,0,0,0,0
J5_B002571,1,"['1063', '976', '1148', '987', '770', '855']",1,"['919', '1148', '987', '770', '844']"
J5_B002573,1,"['2', '2', '2', '2', '29', '31']",1,"['2', '2', '2', '2', '29', '31']"
J5_B003067,1,"['420', '4', '438', '495', '480']",1,"['420', '4', '438', '495', '480']"
J5_B003113,1,"['19', '346', '1108', '1589', '1695', '1688', '1388', '1335', '1236']",1,"['19', '342', '1107', '1588', '1694', '1689', '1384', '1330', '1200']"
J5_B003125,1,"['66', '198', '144']",1,"['66', '198', '144']"
J5_B003126,1,"['82', '121', '144', '126']",1,"['82', '121', '144', '126']"
J5_B003132,1,"['87', '2', '474', '293', '303', '303', '303', '395', '170', '100', '51', '21']",1,"['87', '2', '479', '395', '170', '100', '51', '21']"
J5_B003187,1,"['120', '77', '77', '92', '90']",1,"['120', '77', '77', '92', '90']"
J5_B003518,1,"['305', '343', '449', '443', '451', '522']",1,"['305', '321', '449', '443', '451', '521']"
J5_B003995,0,0,0,0
J6_1001000340,1,"['38', '121', '128']",1,"['38', '121', '128']"
J6_1001000412,1,"['1994', '5', '3', '2288', '2552', '2181', '2260', '2154', '1651']",1,"['684', '2676', '1', '3243', '3415', '3236', '2799', '3053', '3068', '2342', '168']"
J6_B000863,1,"['146', '139', '131', '129', '235']",1,"['146', '139', '131', '129', '235']"
J6_B001470,1,"['99', '90', '144', '153', '221', '188', '197']",1,"['99', '90', '144', '153', '221', '188', '197']"
J6_B002571,1,"['220', '155', '281']",1,"['220', '155', '280']"
J6_B003070,1,"['156', '237', '312']",1,"['157', '237', '313']"
J6_B003113,1,"['217', '781', '954', '920', '879', '875', '875', '915', '946', '756']",1,"['215', '782', '956', '876', '835', '830', '830', '870', '946', '755']"
J6_B003117,0,0,0,0
J6_B003126,1,"['79', '62']",1,"['79', '62']"
J6_B003129,1,"['196', '288', '288', '288', '288', '247', '247', '247', '247']",1,"['196', '282', '282', '282', '282', '241', '241', '241', '241']"
J6_B003132,1,138,1,155
J6_B003187,1,"['45', '44', '44', '44', '633']",1,"['45', '44', '44', '44', '631']"
J6_B003191,1,['1182'],1,['1180']
J7_1001000407,1,"['84', '164', '129']",1,"['308', '236']"
J7_1001000408,1,"['137', '327', '444', '476', '444', '1']",1,"['696', '913', '1005', '1003', '1003', '1003', '1003', '1003', '1048', '872', '920', '795']"
J7_B001007,0,0,0,0
J7_B002572,1,['144'],1,['144']
J7_B003067,1,"['276', '322', '312', '269']",1,"['276', '322', '312', '269']"
J7_B003115,1,"['71', '540', '563', '509']",1,"['72', '540', '563', '509']"
J7_B003119,1,"['2', '1060']",1,"['2', '980']"
J7_B003125,1,"['222', '919', '745', '1320', '2024', '1946', '1692', '65']",1,"['175', '920', '1', '745', '1247', '2060', '1697', '66']"
J7_B003187,1,"['13', '42', '75', '69', '69']",1,"['13', '42', '75', '69', '69']"
J7_B003527,1,"['49', '34']",1,"['49', '34']"
J7_B003577,1,"['21', '134', '70']",1,"['21', '134', '70']"
J7_B003648,1,"['484', '466', '534', '602']",1,"['486', '469', '535', '602']"
J7_B003995,1,['150'],1,['150']
J8_1001000407,1,"['293', '251', '243']",1,"['468', '601', '478']"
J8_1001000408,1,"['5', '228', '575', '506', '484']",1,"['1004', '1197', '993', '784']"
J8_B000573,1,"['558', '2487', '2762', '2972', '2917']",1,"['580', '2476', '2342', '2757', '2834', '2911']"
