"","x"
"281","G6_B003527"
"282","H6_B002078"
"283","H8_B002078"
"284","I2_B002078"
"285","I8_B000420"
"286","I8_B002078"
"287","I9_B002078"
"288","J2_B000420"
"289","J6_B002078"
"290","J7_B002078"
"291","K1_B002073"
"292","K2_B002073"
"293","L11_B000420"
"294","L12_B000420"
"295","L4_B002073"
"296","L4_B003527"
"297","L5_B000419"
"298","L5_B000420"
"299","L6_B000420"
"300","L6_B002073"
"301","M10_B002078"
"302","M1_B002073"
"303","M4_B003588"
"304","M5_B002073"
"305","N10_B003125"
"306","N2_B000420"
"307","N6_B003527"
"308","O1_B002073"
"309","O6_B003588"
"310","P10_B000420"
"311","B11_B003643"
"312","B5_B003643"
"313","C11_B003643"
"314","C17_B003643"
"315","C5_B003643"
"316","E19_B003643"
"317","E7_B003643"
"318","F10_B003643"
"319","G12_B003643"
"320","G8_B003643"
"321","H22_B003643"
"322","L10_B003643"
"323","N10_B003643"
"324","P15_B003119"
"325","A20_B003577"
"326","A21_B003577"
"327","C15_B003577"
"328","D17_B003577"
"329","E12_B003577"
"330","E19_B003577"
"331","G18_B003577"
"332","G2_B003577"
"333","H13_B003577"
"334","H22_B003577"
"335","I12_B003577"
"336","I13_B003577"
"337","I18_B003577"
"338","J1_B003577"
"339","J20_B003577"
"340","J6_B003577"
"341","M13_B003577"
"342","M17_B003577"
"343","M18_B003577"
"344","M19_B003577"
"345","M20_B003577"
"346","M21_B003577"
"347","N21_B003577"
"348","B4_B003776"
"349","C5_B003776"
"350","E1_B003776"
"351","K9_B003776"
"352","C6_B002074"
"353","F10_B003920"
"354","F3_B003894"
"355","F8_B003920"
"356","H9_B003894"
"357","I11_B003920"
"358","I8_B003894"
"359","I9_B003920"
"360","K12_B002074"
"361","K9_B003920"
"362","M8_B003894"
"363","N10_B003920"
"364","N2_B003894"
"365","N8_B002074"
"366","O9_B003920"
"367","P8_B002074"
"368","A14_B003523"
"369","B10_B003132"
"370","B1_B003523"
"371","B4_B003523"
"372","B5_B003777"
"373","B6_B003518"
