"","x"
"2158","G10_B003121"
"2159","G11_B003121"
"2160","G12_B003121"
"2161","G13_B003121"
"2162","G14_B003113"
"2163","G14_B003121"
"2164","G16_B003121"
"2165","G17_B003121"
"2166","G18_B003121"
"2167","G19_B003121"
"2168","G20_B003121"
"2169","G21_B003121"
"2170","G22_B003121"
"2171","G2_B003121"
"2172","G4_B003121"
"2173","G5_B003121"
"2174","G6_B003121"
"2175","G7_B003121"
"2176","G8_B003121"
"2177","G9_B003121"
"2178","H10_B003121"
"2179","H11_B003121"
"2180","H12_B003121"
"2181","H13_B003121"
"2182","H14_B003121"
"2183","H15_B003121"
"2184","H16_B003121"
"2185","H17_B003121"
"2186","H18_B003121"
"2187","H19_B003121"
"2188","H20_B003113"
"2189","H20_B003121"
"2190","H21_B003121"
"2191","H22_B003121"
"2192","H3_B003121"
"2193","H4_B003121"
"2194","H5_B003121"
"2195","H6_B003121"
"2196","H7_B003121"
"2197","H8_B003121"
"2198","H9_B003121"
"2199","I10_B000569"
"2200","I10_B003121"
"2201","I11_B003121"
"2202","I12_B003121"
"2203","I13_B003121"
"2204","I14_B003121"
"2205","I15_B003121"
"2206","I16_B003121"
"2207","I17_B003121"
"2208","I18_B003121"
"2209","I19_B003121"
"2210","I20_B003121"
"2211","I21_B003121"
"2212","I22_B003121"
"2213","I4_B003121"
"2214","I5_B003121"
"2215","I6_B003121"
"2216","I7_B003121"
"2217","I8_B003121"
"2218","J15_B003121"
"2219","J16_B003121"
"2220","J18_B003113"
"2221","J18_B003121"
"2222","J19_B003121"
"2223","J20_B003113"
"2224","J20_B003121"
"2225","J21_B003121"
"2226","J22_B003121"
"2227","L13_B003113"
"2228","L7_B003117"
"2229","M7_B003115"
"2230","O7_B003115"
"2231","P14_B003115"
"2232","P15_B003121"
"2233","P19_B003115"
"2234","P21_B003115"
"2235","A10_B002073"
"2236","A2_B002073"
"2237","A3_B003527"
"2238","A4_B003527"
"2239","A5_B003588"
"2240","A9_B003125"
"2241","B10_B002078"
"2242","B12_B002073"
"2243","B12_B002078"
"2244","B19_B003588"
"2245","B20_B003588"
"2246","B3_B003527"
"2247","B4_B000420"
"2248","B4_B003527"
"2249","B5_B003527"
"2250","B8_B003588"
"2251","C10_B002097"
"2252","C3_B000420"
"2253","C4_B003588"
"2254","C5_B000419"
"2255","C7_B002073"
"2256","C8_B003588"
"2257","C9_B002073"
"2258","D10_B003125"
"2259","D1_B002097"
"2260","D3_B003527"
"2261","D4_B002073"
"2262","D5_B002097"
"2263","E12_B002078"
"2264","E1_B002078"
"2265","E21_B003588"
"2266","E2_B000420"
"2267","E4_B003527"
"2268","E7_B002078"
"2269","E7_B003588"
"2270","E8_B002078"
"2271","F7_B002078"
"2272","F9_B003125"
"2273","G11_B002073"
"2274","G19_B003588"
"2275","G5_B002097"
"2276","H10_B000420"
"2277","H10_B002078"
"2278","H4_B002073"
"2279","H4_B003527"
"2280","I10_B002097"
"2281","I11_B003125"
"2282","I1_B002073"
"2283","I2_B000420"
"2284","I3_B002097"
"2285","I4_B003588"
"2286","I5_B002073"
"2287","I9_B003125"
"2288","J11_B002073"
"2289","J2_B002078"
"2290","J3_B003527"
"2291","J7_B003588"
"2292","K10_B000420"
"2293","K3_B000420"
"2294","K3_B002073"
"2295","K6_B002073"
"2296","L13_B002073"
"2297","L13_B002097"
"2298","L6_B002097"
"2299","L7_B002073"
"2300","L8_B003588"
"2301","M11_B002078"
"2302","M12_B000420"
"2303","M1_B000420"
"2304","M1_B002097"
"2305","M3_B003527"
"2306","M5_B003588"
"2307","M9_B002073"
"2308","N12_B002097"
"2309","N7_B000420"
"2310","N7_B002073"
"2311","N9_B003125"
"2312","O11_B003125"
"2313","O3_B003588"
"2314","O4_B003527"
"2315","O6_B002097"
"2316","P5_B003588"
"2317","P7_B003588"
"2318","P8_B000420"
"2319","A17_B003658"
"2320","A1_B003643"
"2321","A22_B003658"
"2322","B17_B003658"
"2323","B19_B003658"
"2324","C17_B003658"
"2325","C18_B003658"
"2326","C19_B003658"
"2327","C20_B003658"
"2328","D17_B003658"
"2329","D18_B003658"
"2330","D20_B003658"
"2331","D22_B003658"
"2332","E18_B003658"
"2333","E19_B003658"
"2334","E20_B003658"
"2335","E22_B003658"
"2336","F10_B003126"
"2337","F17_B003643"
"2338","F17_B003658"
"2339","F18_B003658"
"2340","F19_B003658"
"2341","F20_B003658"
"2342","F22_B003658"
"2343","F9_B003126"
"2344","G12_B003126"
"2345","G17_B003658"
"2346","G19_B003658"
"2347","G21_B003658"
"2348","G22_B003658"
"2349","H13_B003126"
"2350","H17_B003658"
"2351","H18_B003658"
"2352","H19_B003658"
"2353","H4_B003643"
"2354","I10_B003126"
"2355","I17_B003658"
"2356","I19_B003658"
"2357","I20_B003658"
"2358","I21_B003658"
"2359","J11_B003643"
"2360","J17_B003658"
"2361","J18_B003658"
"2362","J19_B003658"
"2363","K11_B003126"
"2364","K19_B003658"
"2365","K20_B003658"
"2366","K21_B003658"
"2367","K22_B003658"
"2368","L11_B003126"
"2369","L17_B003658"
"2370","L19_B003658"
"2371","L20_B003658"
"2372","M11_B003126"
"2373","N22_B003658"
"2374","O17_B003658"
"2375","O18_B003658"
"2376","O22_B003658"
"2377","P18_B003126"
"2378","A17_B003577"
"2379","C13_B003577"
"2380","E16_B003577"
"2381","E1_B003577"
"2382","F14_B003577"
"2383","H16_B003577"
"2384","I3_B003577"
"2385","J15_B003577"
"2386","J19_B003577"
"2387","M16_B003577"
"2388","O21_B003577"
"2389","A10_B003776"
"2390","A11_B003776"
"2391","A14_B003656"
"2392","A19_B003656"
"2393","A1_B003776"
"2394","A3_B003776"
"2395","A4_B003656"
"2396","B10_B003776"
"2397","B11_B003776"
"2398","B3_B003776"
"2399","B6_B003776"
"2400","C7_B003776"
"2401","C8_B003776"
"2402","D11_B003656"
"2403","D11_B003776"
"2404","D14_B003656"
"2405","D15_B003656"
"2406","D17_B003656"
"2407","D19_B003656"
"2408","D3_B003776"
"2409","D4_B003776"
"2410","E20_B003656"
"2411","E2_B003776"
"2412","E8_B003776"
"2413","F11_B003656"
"2414","F11_B003776"
"2415","F19_B003776"
"2416","F9_B003776"
"2417","G11_B003656"
"2418","G4_B003776"
"2419","H11_B003776"
"2420","H14_B003656"
"2421","I10_B003776"
"2422","I11_B003656"
"2423","J14_B003776"
"2424","J1_B003776"
"2425","J3_B003776"
"2426","J7_B003776"
"2427","J9_B003656"
"2428","K11_B003776"
"2429","K5_B003776"
"2430","K7_B003776"
"2431","K8_B003776"
"2432","L11_B003776"
"2433","L12_B003656"
"2434","L2_B003776"
"2435","L5_B003656"
"2436","L5_B003776"
"2437","L6_B003776"
"2438","L8_B003776"
"2439","M15_B003656"
"2440","M4_B003656"
"2441","M5_B003776"
"2442","M6_B003776"
"2443","N11_B003776"
"2444","N2_B003656"
"2445","N4_B003776"
"2446","O10_B003656"
"2447","O10_B003776"
"2448","O11_B003656"
"2449","O11_B003776"
"2450","O13_B003656"
"2451","O14_B003656"
"2452","O18_B003656"
"2453","O4_B003776"
"2454","O5_B003776"
"2455","O6_B003776"
"2456","O7_B003776"
"2457","P21_B003656"
"2458","H1_B002090"
"2459","O4_B002090"
"2460","A10_B002074"
"2461","A1_B002074"
"2462","A5_B003894"
"2463","A6_B002074"
"2464","A8_B003894"
"2465","B9_B003920"
"2466","D3_B003894"
"2467","D5_B003920"
"2468","D9_B002074"
"2469","E10_B002074"
"2470","E6_B003920"
"2471","F3_B002074"
"2472","F4_B002074"
"2473","F5_B003894"
"2474","F5_B003920"
"2475","G12_B002074"
"2476","G3_B003894"
"2477","G6_B003920"
"2478","H11_B002074"
"2479","H11_B003920"
"2480","I2_B003920"
"2481","J10_B003920"
"2482","J1_B003894"
"2483","K8_B003894"
"2484","L11_B003894"
"2485","L3_B003894"
"2486","M3_B003920"
"2487","M5_B002074"
"2488","N3_B003920"
"2489","N6_B003894"
"2490","N6_B003920"
"2491","N7_B002074"
"2492","O9_B003894"
"2493","P1_B003920"
"2494","P2_B003894"
"2495","P3_B002074"
"2496","A13_B003191"
"2497","A13_B003642"
"2498","A13_B003647"
"2499","A14_B003647"
"2500","A16_B003523"
"2501","A21_B003647"
"2502","A3_B003529"
"2503","A4_B003647"
"2504","A5_B003518"
"2505","A5_B003647"
"2506","A6_B003518"
"2507","A7_B003647"
"2508","B12_B001470"
"2509","B13_B003129"
"2510","B13_B003647"
"2511","B16_B003647"
"2512","B17_B001470"
"2513","B17_B003191"
"2514","B18_B003647"
"2515","B19_B003647"
"2516","B20_B001470"
"2517","B2_B003647"
"2518","B3_B003518"
"2519","B3_B003529"
"2520","B3_B003647"
"2521","B3_B003777"
"2522","B4_B003522"
"2523","B4_B003777"
"2524","B5_B003647"
"2525","B7_B003522"
"2526","B7_B003529"
"2527","B8_B003647"
"2528","B9_B003129"
"2529","B9_B003777"
"2530","C10_B003129"
"2531","C11_B003647"
"2532","C12_B003647"
"2533","C13_B003647"
"2534","C15_B003523"
"2535","C15_B003647"
"2536","C17_B001470"
"2537","C18_B003647"
"2538","C19_B001470"
"2539","C1_B003777"
"2540","C20_B001474"
"2541","C2_B003647"
"2542","C3_B003518"
"2543","C3_B003647"
"2544","C4_B003518"
"2545","C4_B003647"
"2546","C4_B003777"
"2547","C5_B003522"
"2548","C8_B003529"
"2549","C9_B003129"
"2550","D10_B003647"
"2551","D11_B003129"
"2552","D11_B003187"
"2553","D11_B003647"
"2554","D12_B003647"
"2555","D13_B003647"
"2556","D17_B003647"
"2557","D19_B001474"
"2558","D19_B003129"
"2559","D1_B003642"
"2560","D1_B003647"
"2561","D20_B003647"
"2562","D21_B003647"
"2563","D22_B003647"
"2564","D3_B003522"
"2565","D4_B003518"
"2566","D4_B003529"
"2567","D4_B003647"
"2568","D4_B003777"
"2569","D5_B003529"
"2570","D6_B003522"
"2571","E12_B003647"
"2572","E13_B001474"
"2573","E13_B003129"
"2574","E13_B003191"
"2575","E17_B003647"
"2576","E19_B003647"
"2577","E21_B003522"
"2578","E22_B001474"
"2579","E3_B003647"
"2580","E4_B003518"
"2581","E6_B003647"
"2582","E9_B003187"
"2583","E9_B003191"
"2584","E9_B003647"
"2585","E9_B003777"
"2586","F10_B003647"
"2587","F12_B003647"
"2588","F13_B003132"
"2589","F13_B003523"
"2590","F14_B003523"
"2591","F14_B003647"
"2592","F15_B003647"
"2593","F16_B001474"
"2594","F17_B001470"
"2595","F18_B003187"
"2596","F19_B001470"
"2597","F19_B003647"
"2598","F21_B001470"
"2599","F22_B003647"
"2600","F2_B003777"
"2601","F3_B003518"
"2602","F3_B003522"
"2603","F7_B003777"
"2604","F8_B003529"
"2605","F8_B003647"
"2606","G10_B003647"
"2607","G12_B001470"
"2608","G12_B003647"
"2609","G14_B003647"
"2610","G17_B001474"
"2611","G17_B003647"
"2612","G18_B001474"
"2613","G20_B001474"
"2614","G21_B003647"
"2615","G3_B003529"
"2616","G4_B003518"
"2617","G4_B003647"
"2618","G4_B003777"
"2619","G5_B003529"
"2620","G5_B003647"
"2621","G5_B003777"
"2622","G6_B003518"
"2623","G6_B003529"
"2624","G7_B003529"
"2625","G7_B003647"
"2626","G8_B003777"
"2627","G9_B003132"
"2628","H11_B003647"
"2629","H16_B001470"
"2630","H18_B003647"
"2631","H20_B001470"
"2632","H21_B001474"
"2633","H21_B003647"
"2634","H3_B003518"
"2635","H3_B003529"
"2636","H4_B003647"
"2637","H5_B003647"
"2638","H6_B003529"
"2639","H7_B003529"
"2640","H9_B003647"
"2641","I10_B003187"
"2642","I10_B003647"
"2643","I10_B003777"
"2644","I11_B003191"
"2645","I11_B003647"
"2646","I12_B001470"
"2647","I13_B003523"
"2648","I14_B001474"
"2649","I16_B003647"
"2650","I17_B003647"
"2651","I19_B003647"
"2652","I1_B003777"
"2653","I22_B003647"
"2654","I3_B003518"
"2655","I3_B003522"
"2656","I5_B003529"
"2657","I6_B003518"
"2658","I7_B003529"
"2659","I7_B003777"
"2660","I8_B001470"
"2661","J12_B003647"
"2662","J16_B003523"
"2663","J18_B003187"
"2664","J1_B003642"
"2665","J1_B003647"
"2666","J20_B001470"
"2667","J20_B001474"
"2668","J21_B003132"
"2669","J22_B001470"
"2670","J3_B003647"
"2671","J4_B003518"
"2672","J4_B003529"
"2673","J6_B003647"
"2674","J9_B003191"
"2675","J9_B003647"
"2676","K11_B003132"
"2677","K11_B003647"
"2678","K12_B001470"
"2679","K12_B003523"
"2680","K14_B003647"
"2681","K16_B003191"
"2682","K16_B003523"
"2683","K16_B003647"
"2684","K18_B003187"
"2685","K19_B003647"
"2686","K1_B003777"
"2687","K21_B003647"
"2688","K3_B003518"
"2689","K3_B003529"
"2690","K4_B003518"
"2691","K5_B003522"
"2692","K5_B003529"
"2693","K6_B003529"
"2694","K7_B003529"
"2695","K7_B003647"
"2696","K8_B001474"
"2697","K8_B003529"
"2698","K9_B003129"
"2699","L10_B003647"
"2700","L13_B003647"
"2701","L17_B003187"
"2702","L18_B003647"
"2703","L22_B003777"
"2704","L2_B003642"
"2705","L4_B003529"
"2706","L5_B003777"
"2707","L6_B003647"
"2708","L7_B003529"
"2709","M10_B003647"
"2710","M11_B003132"
"2711","M11_B003187"
"2712","M12_B001474"
"2713","M12_B003523"
"2714","M13_B001470"
"2715","M13_B003191"
"2716","M16_B003523"
"2717","M17_B003647"
"2718","M18_B003647"
"2719","M1_B003777"
"2720","M3_B003647"
"2721","M4_B003518"
"2722","M4_B003647"
"2723","M5_B003529"
"2724","M5_B003777"
"2725","M6_B003647"
"2726","M6_B003777"
"2727","M8_B003522"
"2728","M8_B003777"
"2729","M9_B003129"
"2730","M9_B003647"
"2731","N11_B003129"
"2732","N11_B003132"
"2733","N12_B001470"
"2734","N12_B003647"
"2735","N13_B003647"
"2736","N14_B001474"
"2737","N18_B003647"
"2738","N19_B003647"
"2739","N20_B001474"
"2740","N20_B003647"
"2741","N22_B001470"
"2742","N3_B003518"
"2743","N3_B003647"
"2744","N4_B003518"
"2745","N4_B003529"
"2746","N4_B003647"
"2747","N8_B003522"
"2748","N8_B003777"
"2749","N9_B003132"
"2750","N9_B003191"
"2751","O10_B003191"
"2752","O11_B003129"
"2753","O12_B001474"
"2754","O12_B003129"
"2755","O12_B003523"
"2756","O12_B003647"
"2757","O16_B003647"
"2758","O17_B001470"
"2759","O18_B001470"
"2760","O20_B003647"
"2761","O21_B003647"
"2762","O22_B003523"
"2763","O4_B003518"
"2764","O7_B003647"
"2765","O7_B003777"
"2766","O9_B003647"
"2767","O9_B003777"
"2768","P10_B003647"
"2769","P12_B003523"
"2770","P14_B003647"
"2771","P15_B003647"
"2772","P16_B003647"
"2773","P18_B001470"
"2774","P19_B001470"
"2775","P20_B003647"
"2776","P2_B003647"
"2777","P4_B003518"
"2778","P7_B003647"
"2779","A10_B003775"
"2780","A17_B003097"
"2781","A19_B001464"
"2782","A20_B001464"
"2783","A21_B001464"
"2784","A22_B001464"
"2785","A5_B003775"
"2786","A7_B003775"
"2787","A8_B003775"
"2788","A9_B003775"
"2789","B13_B003093"
"2790","B15_B003093"
"2791","B16_B001545"
"2792","B16_B003097"
"2793","B18_B003093"
"2794","B18_B003097"
"2795","B19_B001464"
"2796","B19_B003093"
"2797","B22_B001464"
"2798","B3_B003775"
"2799","C18_B001464"
"2800","C18_B003093"
"2801","C18_B003097"
"2802","C19_B003093"
"2803","C21_B003097"
"2804","C22_B001543"
"2805","C22_B003093"
"2806","C2_B003775"
"2807","D14_B003097"
"2808","D15_B003097"
"2809","D15_B003775"
"2810","D19_B001464"
"2811","D19_B002573"
"2812","D20_B001464"
"2813","D20_B003097"
"2814","D6_B003775"
"2815","D7_B003775"
"2816","D9_B003775"
"2817","E11_B002571"
"2818","E12_B003097"
"2819","E13_B001464"
"2820","E14_B001475"
"2821","E14_B001556"
"2822","E14_B003093"
"2823","E14_B003097"
"2824","E16_B003093"
"2825","E17_B001556"
"2826","E17_B003097"
"2827","E18_B002571"
"2828","E19_B001464"
"2829","E20_B001464"
"2830","E21_B003097"
"2831","E22_B001464"
"2832","E5_B003775"
"2833","E6_B003775"
"2834","E9_B003775"
"2835","F12_B003093"
"2836","F13_B001545"
"2837","F14_B003093"
"2838","F15_B003093"
"2839","F15_B003097"
"2840","F16_B001556"
"2841","F17_B001556"
"2842","F17_B003097"
"2843","F19_B001464"
"2844","F19_B003097"
"2845","F22_B001464"
"2846","F22_B001556"
"2847","F22_B003097"
"2848","F7_B001556"
"2849","G12_B003097"
"2850","G13_B001475"
"2851","G15_B003097"
"2852","G16_B003093"
"2853","G16_B003775"
"2854","G1_B003775"
"2855","G20_B003097"
"2856","G22_B001464"
"2857","G22_B001556"
"2858","H10_B003775"
"2859","H14_B001556"
"2860","H15_B003097"
"2861","H17_B001475"
"2862","H17_B001556"
"2863","H17_B003093"
"2864","H18_B003097"
"2865","H19_B001464"
"2866","H22_B001556"
"2867","H6_B003775"
"2868","I12_B003093"
"2869","I12_B003097"
"2870","I14_B003093"
"2871","I14_B003097"
"2872","I17_B001556"
"2873","I18_B001545"
"2874","I19_B003093"
"2875","I19_B003097"
"2876","I21_B003093"
"2877","I21_B003097"
"2878","I2_B003775"
"2879","I5_B003775"
"2880","I9_B003775"
"2881","J12_B001556"
"2882","J13_B003093"
"2883","J13_B003097"
"2884","J14_B001475"
"2885","J15_B003093"
"2886","J16_B001475"
"2887","J18_B003093"
"2888","J20_B003093"
"2889","J21_B001543"
"2890","J21_B003097"
"2891","J22_B001543"
"2892","J22_B001556"
"2893","J22_B003093"
"2894","J5_B003775"
"2895","K12_B003093"
"2896","K13_B002573"
"2897","K14_B001545"
"2898","K14_B001556"
"2899","K14_B002571"
"2900","K15_B003093"
"2901","K16_B003097"
"2902","K17_B003093"
"2903","K18_B001464"
"2904","K19_B003097"
"2905","K20_B001556"
"2906","K20_B002571"
"2907","K21_B003093"
"2908","K21_B003097"
"2909","K22_B003093"
"2910","K5_B003775"
"2911","L11_B003775"
"2912","L13_B001556"
"2913","L13_B003097"
"2914","L14_B001556"
"2915","L14_B003097"
"2916","L17_B003097"
"2917","L20_B001464"
"2918","L21_B001464"
"2919","L21_B003097"
"2920","L5_B003775"
"2921","L7_B003775"
"2922","M12_B003097"
"2923","M13_B001556"
"2924","M14_B003093"
"2925","M15_B001556"
"2926","M15_B003097"
"2927","M18_B003097"
"2928","M19_B003097"
"2929","M2_B003775"
"2930","N12_B003097"
"2931","N12_B003775"
"2932","N13_B003097"
"2933","N15_B003093"
"2934","N15_B003097"
"2935","N17_B003097"
"2936","N18_B001464"
"2937","N19_B001464"
"2938","N19_B001475"
"2939","N19_B003775"
"2940","N20_B001556"
"2941","N21_B001464"
"2942","N21_B003093"
"2943","N22_B001464"
"2944","O12_B001475"
"2945","O12_B003097"
"2946","O13_B001545"
"2947","O14_B001475"
"2948","O16_B003093"
"2949","O1_B003775"
"2950","O20_B001475"
"2951","O20_B003093"
"2952","O22_B001464"
"2953","O4_B003093"
"2954","P12_B001475"
"2955","P13_B001556"
"2956","P13_B003775"
"2957","P14_B001545"
"2958","P14_B001556"
"2959","P14_B003093"
"2960","P15_B003093"
"2961","P16_B001475"
"2962","P18_B003093"
"2963","P19_B001464"
"2964","P19_B003093"
"2965","P19_B003097"
"2966","P20_B001556"
"2967","P21_B001464"
"2968","P21_B003093"
"2969","P21_B003097"
"2970","P2_B003775"
"2971","P3_B001556"
"2972","P3_B003775"
"2973","P4_B003775"
"2974","K1_B001797"
"2975","I12_B003647"
"2976","A18_B001558"
"2977","A19_B001554"
"2978","A19_B002572"
"2979","B20_B001554"
"2980","B21_B001554"
"2981","D15_B001554"
"2982","D15_B001558"
"2983","D16_B001554"
"2984","D18_B001554"
"2985","D19_B001554"
"2986","D21_B001558"
"2987","E14_B001554"
"2988","E19_B001554"
"2989","F16_B001554"
"2990","F16_B001558"
"2991","F16_B002572"
"2992","F19_B001558"
"2993","F3_B002572"
"2994","G17_B001554"
"2995","H15_B001554"
"2996","H18_B001554"
"2997","H19_B001554"
"2998","H20_B001558"
"2999","I10_B002572"
"3000","I14_B001554"
"3001","I16_B001554"
"3002","I16_B001558"
"3003","I16_B003528"
"3004","I17_B001554"
"3005","J19_B001554"
"3006","J20_B001558"
"3007","K13_B003528"
"3008","K16_B001554"
"3009","K18_B001554"
"3010","L2_B002572"
"3011","L6_B003528"
"3012","M12_B001558"
"3013","M17_B001554"
"3014","M20_B001558"
"3015","M7_B003528"
"3016","N22_B001558"
"3017","N9_B001558"
"3018","O14_B002572"
"3019","O15_B001558"
"3020","O17_B001554"
"3021","O19_B001554"
"3022","O19_B001558"
"3023","P19_B001554"
"3024","C13_B003523"
"3025","M15_B003523"
"3026","A2_B001799"
"3027","G1_B003785"
"3028","G3_B003785"
"3029","L1_B003785"
"3030","J5_B001797"
"3031","P3_B001795"
"3032","A2_B001797"
"3033","A3_B001798"
"3034","L2_B001800"
"3035","L4_B001799"
"3036","P2_B001798"
"3037","A12_B000863"
"3038","A14_B000863"
"3039","A16_B000863"
"3040","A18_B000863"
"3041","A20_B000861"
"3042","A20_B000863"
"3043","A21_B000861"
"3044","A22_B000863"
"3045","A22_B003648"
"3046","A3_B000861"
"3047","B12_B000861"
"3048","B12_B000863"
"3049","B22_B000861"
"3050","C14_B000861"
"3051","C19_B000861"
"3052","C20_B000863"
"3053","C22_B000861"
"3054","C5_B003654"
"3055","D12_B000861"
"3056","D16_B000863"
"3057","D17_B000863"
"3058","D18_B000861"
"3059","D18_B003067"
"3060","D21_B003648"
"3061","D2_B003646"
"3062","D6_B003646"
"3063","E12_B000861"
"3064","E16_B000861"
"3065","F12_B000861"
"3066","F13_B000861"
"3067","F15_B000861"
"3068","F16_B000863"
"3069","F16_B003067"
"3070","F18_B003648"
"3071","F20_B003648"
"3072","G16_B000861"
"3073","G18_B000863"
"3074","G20_B000863"
"3075","G21_B000861"
"3076","G21_B000863"
"3077","G22_B000274"
"3078","G22_B003648"
"3079","H10_B003646"
"3080","H11_B003067"
"3081","H12_B003648"
"3082","H14_B000863"
"3083","H14_B003648"
"3084","H15_B000861"
"3085","H18_B000861"
"3086","H19_B000863"
"3087","H4_B003067"
"3088","H4_B003646"
"3089","H9_B003067"
"3090","I19_B000863"
"3091","I4_B003067"
"3092","J16_B000863"
"3093","J17_B003067"
"3094","J18_B000861"
"3095","J20_B000861"
"3096","J2_B003067"
"3097","J6_B003067"
"3098","K13_B000861"
"3099","K16_B000861"
"3100","K16_B000863"
"3101","K18_B000861"
"3102","K19_B000861"
"3103","K20_B003648"
"3104","L13_B000863"
"3105","L1_B003646"
"3106","L20_B000863"
"3107","L21_B000863"
"3108","L22_B000863"
"3109","L22_B003648"
"3110","M12_B003067"
"3111","M13_B000863"
"3112","M14_B000863"
"3113","M16_B000863"
"3114","M2_B003646"
"3115","M3_B003646"
"3116","N10_B003646"
"3117","N22_B000861"
"3118","O12_B000863"
"3119","O15_B000863"
"3120","O19_B000861"
"3121","O20_B000863"
"3122","P12_B000861"
"3123","P16_B000861"
"3124","P16_B000863"
"3125","A11_B003070"
"3126","A16_B000862"
"3127","A19_B000860"
"3128","A8_B003071"
"3129","B13_B000862"
"3130","B13_B003070"
"3131","B13_B003071"
"3132","B16_B000860"
"3133","B17_B000860"
"3134","B19_B000860"
"3135","C14_B000860"
"3136","C15_B003070"
"3137","C17_B000862"
"3138","C20_B000275"
"3139","C21_B000860"
"3140","C21_B000862"
"3141","D12_B000860"
"3142","D12_B003070"
"3143","D15_B000862"
"3144","D15_B003070"
"3145","D18_B000860"
"3146","D20_B000860"
"3147","D22_B000860"
"3148","E12_B000862"
"3149","E13_B000862"
"3150","E15_B000862"
"3151","E18_B003070"
"3152","E19_B000862"
"3153","E20_B000862"
"3154","F10_B003070"
"3155","F13_B003071"
"3156","F14_B000860"
"3157","F16_B000862"
"3158","F17_B000862"
"3159","F21_B000862"
"3160","F22_B003659"
"3161","G13_B003070"
"3162","G14_B000862"
"3163","G15_B003070"
"3164","G16_B000862"
"3165","H10_B003070"
"3166","H14_B000862"
"3167","H18_B000862"
"3168","H1_B000870"
"3169","H20_B000862"
"3170","H2_B000870"
"3171","H3_B000870"
"3172","H5_B000870"
"3173","H6_B000870"
"3174","H7_B000870"
"3175","I10_B003070"
"3176","I12_B003659"
"3177","I13_B000860"
"3178","I14_B000860"
"3179","I14_B000862"
"3180","I15_B003659"
"3181","I8_B003071"
"3182","J12_B000862"
"3183","J13_B000862"
"3184","J19_B003659"
"3185","K13_B000862"
"3186","K14_B000862"
"3187","K17_B000862"
"3188","K9_B003071"
"3189","L22_B000862"
"3190","M13_B003071"
"3191","M14_B000862"
"3192","M15_B003659"
"3193","M17_B000862"
"3194","N21_B000862"
"3195","N22_B000862"
"3196","O14_B000862"
"3197","O16_B000862"
"3198","O5_B003070"
"3199","O6_B003071"
"3200","O7_B003070"
"3201","P12_B000862"
"3202","P13_B000862"
"3203","P16_B003071"
"3204","P17_B000862"
"3205","B10_B003120"
"3206","B15_B003117"
"3207","C2_B003120"
"3208","D11_B003117"
"3209","D20_B003115"
"3210","H3_B003117"
"3211","J10_B003120"
"3212","J17_B003121"
"3213","P4_B003120"
"3214","A1_B002097"
"3215","A2_B002078"
"3216","A3_B002073"
"3217","A4_B002097"
"3218","A5_B003527"
"3219","A6_B003588"
"3220","A8_B002097"
"3221","B4_B002073"
"3222","B5_B002073"
"3223","B7_B002073"
"3224","C5_B002078"
"3225","C6_B002097"
"3226","C8_B002073"
"3227","D3_B002073"
"3228","D8_B002073"
"3229","D8_B002097"
"3230","E4_B003588"
"3231","E8_B002073"
"3232","E9_B003125"
"3233","F2_B002073"
"3234","F4_B002078"
"3235","F8_B002073"
"3236","G5_B003588"
"3237","G9_B002073"
"3238","H1_B002073"
"3239","I18_B003125"
"3240","I1_B000419"
"3241","I3_B003588"
"3242","I8_B003588"
"3243","J5_B003527"
"3244","J6_B003588"
"3245","J9_B002097"
"3246","K7_B000420"
"3247","L10_B002073"
"3248","L1_B002073"
"3249","L1_B002097"
"3250","L20_B003125"
"3251","L8_B002073"
"3252","L9_B000420"
"3253","L9_B002073"
"3254","M10_B000420"
"3255","M1_B000419"
"3256","M3_B002097"
"3257","M4_B002073"
"3258","M4_B002097"
"3259","M5_B002097"
"3260","N5_B000420"
"3261","N9_B002073"
"3262","N9_B002097"
"3263","O13_B003125"
"3264","O8_B002073"
"3265","P12_B003125"
"3266","P13_B003125"
"3267","P6_B003527"
"3268","P6_B003588"
"3269","P7_B002097"
"3270","P8_B002073"
"3271","A10_B003643"
"3272","A20_B003643"
"3273","A20_B003658"
"3274","A4_B003643"
"3275","B10_B003643"
"3276","B4_B003643"
"3277","B9_B003643"
"3278","C12_B003643"
"3279","C15_B003643"
"3280","C16_B003643"
"3281","C18_B003643"
"3282","D19_B003126"
"3283","D4_B003643"
"3284","E11_B003643"
"3285","E12_B003126"
"3286","E21_B003643"
"3287","F14_B003643"
"3288","G10_B003643"
"3289","H17_B003643"
"3290","H6_B003643"
"3291","I20_B003643"
"3292","J20_B003658"
"3293","J21_B003643"
"3294","J3_B003643"
"3295","J4_B003643"
"3296","K10_B003643"
"3297","K12_B003643"
"3298","K17_B003126"
"3299","L13_B003643"
"3300","L21_B003658"
"3301","L4_B003643"
"3302","M13_B003126"
"3303","M19_B003643"
"3304","O19_B003658"
"3305","P11_B003643"
"3306","P12_B003643"
"3307","P13_B003126"
"3308","P19_B003643"
"3309","P9_B003126"
"3310","A19_B003577"
"3311","A22_B003577"
"3312","B13_B003577"
"3313","B14_B003577"
"3314","B16_B003577"
"3315","B18_B003577"
"3316","B19_B003577"
"3317","B22_B003577"
"3318","C12_B003577"
"3319","C22_B003577"
"3320","D13_B003577"
"3321","D15_B003577"
"3322","D19_B003577"
"3323","D21_B003577"
